,regdate,trevenue,tcount,shipfee,lrevenue,lcount,lshipfee,NBR,NPBR,OBR,PBR,nrevenue,nshipfee,NBRp,NPBRp,OBRp,PBRp,regdate_week,regdate_month
83,2024-05-23,2013494,23,18000.0,981391.0,8.0,0.0,0.0,0.4392122452958955,0.0,0.5607877547041045,1032103.0,18000.0,0.0,445406.4555913035,0.0,568696.5444086965,2024-05-20,2024-05-01
82,2024-05-22,1562100,23,18000.0,32700.0,1.0,3000.0,0.07234098018769551,0.7035323253388946,0.1463764337851929,0.07775026068821689,1529400.0,15000.0,109553.18039624608,1065429.353493222,221672.47132429614,117744.99478623565,2024-05-20,2024-05-01
81,2024-05-21,1840373,22,12000.0,494773.0,6.0,3000.0,0.0,0.3735548075515879,0.43875310990780036,0.18769208254061173,1345600.0,9000.0,0.0,499293.3557734524,586437.406702766,250869.23752378163,2024-05-20,2024-05-01
80,2024-05-20,3320920,47,54000.0,1146930.0,16.0,9000.0,0.0,0.4082883210022241,0.4844083337115882,0.10730334528618765,2173990.0,45000.0,0.0,869241.7525305251,1031300.4983886342,228447.74908084064,2024-05-20,2024-05-01
79,2024-05-19,2714020,31,27000.0,171725.0,3.0,3000.0,0.11495229634207578,0.3607709838155201,0.33191703039901116,0.19235968944339293,2542295.0,24000.0,289483.7931167677,908527.7646877052,835864.9980686778,484418.44412684924,2024-05-13,2024-05-01
78,2024-05-18,1955889,23,27000.0,796525.0,7.0,0.0,0.0,0.5907534246575342,0.11977739726027398,0.2894691780821918,1159364.0,27000.0,0.0,668947.9109589041,135631.61267123287,327784.476369863,2024-05-13,2024-05-01
77,2024-05-17,1830676,24,18000.0,850000.0,10.0,0.0,0.0,0.5486103936357062,0.3096394255604918,0.14175018080380206,980676.0,18000.0,0.0,528134.0593036471,298082.443640872,136459.49705548096,2024-05-13,2024-05-01
76,2024-05-16,4911942,60,60000.0,930325.0,9.0,0.0,0.012338996395487594,0.4628046305067231,0.43263990551994785,0.09221646757784148,3981617.0,60000.0,48388.81802748287,1814942.5066738839,1696648.0083654213,361637.66693321196,2024-05-13,2024-05-01
75,2024-05-15,3557080,42,21000.0,418115.0,4.0,0.0,0.08054005176015715,0.4839262885472857,0.3426771849957906,0.09285647469676656,3138965.0,21000.0,251121.06248635837,1508865.2302703375,1068455.4691154002,289523.2381279037,2024-05-13,2024-05-01
74,2024-05-14,3306877,36,12000.0,822865.0,9.0,0.0,0.055518420198239146,0.17723114531808026,0.4745898665036955,0.29266056797998513,2484012.0,12000.0,137242.20095108956,438117.5180000382,1173191.8450755333,723460.435973339,2024-05-13,2024-05-01
73,2024-05-13,7709397,91,48000.0,753502.0,8.0,3000.0,0.064992927864215,0.28592644978783593,0.6165912305516266,0.032489391796322487,6955895.0,45000.0,449159.3002121641,1976007.6722065064,4261197.252263083,224530.7753182461,2024-05-13,2024-05-01
72,2024-05-12,9608401,103,48000.0,1025783.0,8.0,3000.0,0.0029459453287355272,0.22311539427710156,0.6981433693393317,0.07579529105483113,8582618.0,45000.0,25151.355865628353,1904874.0062572793,5960481.396652127,647111.2412249652,2024-05-06,2024-05-01
71,2024-05-11,2306300,34,45000.0,129300.0,3.0,3000.0,0.03262693156732892,0.4878587196467991,0.0,0.47951434878587196,2177000.0,42000.0,69658.49889624724,1041578.3664459161,0.0,1023763.1346578366,2024-05-06,2024-05-01
70,2024-05-10,4486772,65,60000.0,1054000.0,13.0,0.0,0.028867891716422237,0.9518868471392963,0.0,0.019245261144281493,3432772.0,60000.0,97364.81688018086,3210497.3051996985,0.0,64909.877920120576,2024-05-06,2024-05-01
69,2024-05-09,2286152,29,15000.0,175000.0,3.0,0.0,0.21077019066669114,0.7033472189088507,0.0,0.08588259042445819,2111152.0,15000.0,441806.356706366,1474322.6796102251,0.0,180022.9636834089,2024-05-06,2024-05-01
68,2024-05-08,1550274,15,6000.0,376470.0,4.0,3000.0,0.2279766860949209,0.5295587010824313,0.0,0.2424646128226478,1173804.0,3000.0,266916.0159866778,620009.4454621149,0.0,283878.53855120734,2024-05-06,2024-05-01
67,2024-05-07,2853264,36,33000.0,128300.0,3.0,6000.0,0.21464532196976446,0.6572294887462901,0.0,0.1281251892839455,2724964.0,27000.0,579105.3514428337,1773181.5003758958,0.0,345677.14818127075,2024-05-06,2024-05-01
66,2024-05-06,2074226,30,39000.0,329000.0,5.0,3000.0,0.03399885909868797,0.7746719908727895,0.0,0.19132915002852252,1745226.0,36000.0,58111.73394181404,1324089.5082715345,0.0,327024.75778665143,2024-05-06,2024-05-01
65,2024-05-05,1636551,23,18000.0,173400.0,3.0,0.0,0.05630558577004287,0.894810928402329,0.0,0.04888348582762813,1463151.0,18000.0,81370.07358116322,1293136.9079915541,0.0,70644.01842728262,2024-04-29,2024-05-01
64,2024-05-04,1543757,25,33000.0,121570.0,2.0,0.0,0.16709927524018203,0.7285353109725266,0.0,0.10436541378729142,1422187.0,33000.0,232132.14087308277,1012071.7830439912,0.0,144983.076082926,2024-04-29,2024-05-01
